Code,ServiceRR,PropertyName,Location,Address,Class1Interchanges,Latitude,Longitude
5,YB,Kenilworth Steel Brier Hill,Girard,"S. State Street, Girard, OH 44420","NS,CSX",41.142378,-80.695293
12,IORY,Logan Transload,Logan,"201 S Walnut Street, Logan, OH 43138","NS,CSX,CN",39.53701,-82.40576
56,IORY,Queen City Terminals,Cincinnati,"828 Lee Street, Zanesville, OH 43701","CSX,NS,UP,BNSF,CN,CP",39.944201,-82.01713
25,CFE,Nelson Packaging,Lima,"1801 Reservoir Rd, Lima, OH 45804","NS,CSX",40.74422,-84.072956
57,IORY,Wright Distribution,Lima,"2000 N Sugar St, Lima, OH 45801","NS,CSX",40.76911,-84.0874
58,IORY,Luckey Trucking,Lima,"1750 N Sugar St, Lima, OH 45801","NS,CSX",40.764282,-84.089331
59,IORY,Superior Carrier,Springfield,"1240 South Burnett Road, Springfield, OH 45505","NS,CSX",39.907227,-83.770578
80,CUOH,Dyno Nobel North America,Cambridge,"850 Woodlawn Ave, Cambridge, OH 43725","NS,CSX",40.01517,-81.58269
88,CFE,Van Wert Terminal,Van Wert,"9630 Hoaglin Center Rd, Van Wert, OH 45891","CSX,NS,UP,BNSF,CN,CP",40.86526,-84.517858
14,CUOH,Adams Brothers,Zanesville,"828 Lee Street, Zanesville, OH 43701","NS,CSX",39.944201,-82.01713
82,CUOH,Yenkin-Majestic,Columbus,"1920 Leonard Avenue, Columbus, OH 43219","NS,CSX",39.98707,-82.953269
81,CUOH,Mid State Warehouse,Newark,"1984 Coffman Road, Newark, OH 43055","NS,CSX",40.038083,-82.468093
87,IORY,Troyer Trucking and Warehouse,Lima,"951 Williams St, Lima, OH 45801","CSX,NS,UP,BNSF,CN,CP",40.764227,-84.091252
89,CIND,Cincinnati Bulk Terminals,Cincinnati,"895 W Mehring Way, Cincinnati, OH 45203","CSX,NS,UP,BNSF,CN,CP",39.096275,-84.530385
86,IORY,Cincinnati Barge & Rail Terminal,Cincinnati,"1707 Riverside Dr, Cincinnati, OH 45202","CSX,NS,UP,BNSF,CN,CP",39.116007,-84.485018
90,CIND,Consolidated Grain & Barge,North Bend,"300 Three Rivers Pkwy, North Bend, OH 45052","CSX,NS,UP,BNSF,CN,CP",39.148615,-84.739505
91,MVRY,Gateway Terminals,Lowelville,"Lowellville, OH 44436","NS,CSX",41.037954,-80.534911
92,YARR,Penn Ohio Logistics,Austintown,"3710 Henricks Rd, Austintown, OH 44515","NS,CSX",41.108836,-80.716095
27,CCKY,Euclid Chemical,Lafayette,"119 S Chattanooga St, Lafayette, GA 30728",NS,34.705058,-85.287942
65,CCKY,Washington Penn,Lafayette,"222 Walker County Industrial Dr, Lafayette, LA 30728",NS,34.705289,-85.281945
