Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Latitude,Longitude,Company Name,marker-color
8251 Expansion Way,,Industrial,1,,,C,Existing,7210,,$6.07 - 7.42 (Est.),Service,Dayton,Northeast Cent Dayton,,,Northeast Cent Dayton,Dayton,OH,45424,Montgomery,,,,N,1/11/13,"530,000",100.00,1998,,7210,2.08,Single,08/02/2011,39109C0295E,39113C,0295E,No,100-year and 500-year Floodplain,39.8753189,-84.0597499,Dayton Freight Lines,blue
2 Fountain Pl,,Industrial,1,,,B,Existing,15852,,$6.29 - 7.68 (Est.),Distribution,,Marion/I-64 & South,FedEx Freight,,Illinois South,Mount Vernon,IL,62864,Jefferson,,,,N,7/18/24,"2,300,000",100.00,,,1,,Single,09/17/2010,17081C0192C,17081C,0192C,No,100-year and 500-year Floodplain,38.2911464,-88.9016208,Dayton Freight Lines,blue
994 Gerdt Ct,,Industrial,2,,,C,Existing,9200,,$7.47 - 9.13 (Est.),Warehouse,Indianapolis,Johnson County,,,Far South Counties,Greenwood,IN,46143,Johnson,,,,N,,,100.00,2008,,9200,1.09,Single,08/02/2007,18081C0135D,18081C,0135D,No,100-year and 500-year Floodplain,39.604705,-86.0571482,Dayton Freight Lines,blue
200 Graham Rd,20.99 Acres,Land,2,,,,Existing,,,Not Disclosed,Commercial,Indianapolis,Greenwood,,,South County,Greenwood,IN,46143,Johnson,,,,N,10/22/07,,,,,,,,08/02/2007,18081C0135D,18081C,0135D,No,100-year and 500-year Floodplain,39.6035182,-86.0600677,Dayton Freight Lines,blue
2472 Henry Rd NW,,Industrial,2,,,B,Existing,9700,,$11.63 - 14.21 (Est.),Distribution,Rochester,Rochester,,,Minnesota,Stewartville,MN,55976-4552,Olmsted,,,,N,4/1/21,"1,700,000",100.00,2018,,9700,0.00,Single,04/19/2017,27109C0313E,27109C,0313E,No,100-year and 500-year Floodplain,43.87655,-92.49345,Dayton Freight Lines,blue
32717 Hollingsworth Ave,,Industrial,3,,,C,Existing,44093,,$6.02 - 7.35 (Est.),Truck Terminal,Detroit,W of Van Dyke/Macomb,,,East Area,Warren,MI,48092-3811,Macomb,,,,N,3/18/24,"1,905,194",100.00,1998,,44093,1.36,Single,09/29/2006,26099C0316G,26099C,0316G,No,100-year and 500-year Floodplain,42.533568,-83.036794,Dayton Freight Lines,blue
NW I 69,Vacant Land,Land,2,,,,Existing,,,Not Disclosed,Industrial,,Fort Wayne,,,Indiana North,Markle,IN,46770,Huntington,,,,N,,,,,,,,,06/02/2015,18069C0278D,18069C,0278D,No,100-year and 500-year Floodplain,40.8335763,-85.3521849,Dayton Freight Lines,blue
NWC I-90 And Route 20,NWC I-90 & Rt. 20,Land,2,,,,Existing,,,Not Disclosed,Commercial,Chicago,Far Northwest,,,Northwest,Hampshire,IL,60140,Kane,,,,N,1/24/19,"3,163,500",,,,,,,06/02/2015,17089C0020J,17089C,0020J,No,100-year and 500-year Floodplain,42.1480684,-88.5194229,Dayton Freight Lines,blue
S Industrial Pky,,Land,,,,,Existing,,,Not Disclosed,Industrial,Cleveland,Medina County,,,Medina County,Brunswick,OH,44212,Medina,Gerspacher Real Estate Group,Morgan Faunce,350000,Y,8/5/22,"427,963",,,,,,,08/19/2013,39103C0156E,39103C,0156E,No,100-year and 500-year Floodplain,41.232692,-81.7925853,Dayton Freight Lines,blue
8300 blk Interstate 70 Dr SE,,Land,2,,,,Existing,,,Not Disclosed,Industrial,Columbia,Columbia/Jefferson City,United Country Real Estate,,Missouri North,Columbia,MO,65201,Boone,,,,N,9/26/11,,,,,,,,04/19/2017,29019C0305E,29019C,0305E,No,100-year and 500-year Floodplain,38.9516456,-92.2125337,Dayton Freight Lines,blue
3600 James P Cole Blvd,,Industrial,2,,,C,Existing,8565,,$6.11 - 7.47 (Est.),Warehouse,Flint,Flint,,,Flint,Flint,MI,48505,Genesee,,,,N,1/12/22,,100.00,1989,,8565,,Single,09/25/2009,26049C0191D,26049C,0191D,No,100-year and 500-year Floodplain,43.047913,-83.675363,Dayton Freight Lines,blue
John Weaver Pky,,Land,2,,,,Existing,,,Not Disclosed,Industrial,Elkhart,Outlying Elkhart County,,,Elkhart County,Elkhart,IN,46514,Elkhart,,,,N,3/25/19,"2,128,012",,,,,,,08/02/2011,18039C0109D,18039C,0109D,No,100-year and 500-year Floodplain,41.7179473,-86.0117766,Dayton Freight Lines,blue
John Weaver Pky N,,Land,,,,,Existing,,,Not Disclosed,Commercial,Elkhart,Outlying Elkhart County,,,Elkhart County,Elkhart,IN,46514-1693,Elkhart,,,,N,6/25/21,"529,200",,,,,,,,,,,No,,41.7144888,-86.009695,Dayton Freight Lines,blue
2560 Long Lake Rd,,Industrial,2,,,B,Existing,46000,,$6.24 - 7.62 (Est.),Truck Terminal,Minneapolis,North Central,,,North Central,Roseville,MN,55113,Ramsey,,,,N,7/10/14,"6,600,000",100.00,1974,,46000,0.19,Single,12/16/2015,27003C0425E,27123C,0425E,No,100-year and 500-year Floodplain,45.017287,-93.191434,Dayton Freight Lines,blue
1479 Memphis Junction Rd,,Industrial,1,,,C,Existing,3100,,$9.23 - 11.28 (Est.),Warehouse,Bowling Green,,,,,Bowling Green,KY,42101,Warren,,,,N,4/8/24,"150,000",100.00,1978,,3100,,,05/02/2007,21227C0303E,21227C,0303E,No,100-year and 500-year Floodplain,36.9411682,-86.4877612,Dayton Freight Lines,blue
527 Old Bellwood Rd,,Industrial,2,,,C,Existing,102650,,$5.07 - 6.20 (Est.),Truck Terminal,,Georgia Northwest,"Crown Enterprises, LLC",,Georgia North,Calhoun,GA,30701,Gordon,,,,N,7/2/21,"1,174,000",100.00,1968,,10011,,,10/05/2018,13015C0050H,13129C,0050H,No,100-year and 500-year Floodplain,34.46267,-84.9222453,Dayton Freight Lines,blue
28240 Oregon Rd,,Industrial,2,,,B,Existing,29718,,$4.20 - 5.14 (Est.),Truck Terminal,Toledo,Perrysburg/Northwood,,,Perrysburg/Northwood,Perrysburg,OH,43551,Wood,,,,N,8/15/12,,100.00,2000,,29718,3.10,Single,09/02/2011,39173C0045D,39173C,0045D,No,100-year and 500-year Floodplain,41.561554,-83.536284,Dayton Freight Lines,blue
280 Progress Blvd,,Industrial,2,,,C,Existing,18346,,$4.44 - 5.43 (Est.),Truck Terminal,Akron,Portage County,,,Portage County,Kent,OH,44240,Portage,,,,N,,,100.00,2000,,18346,2.73,Single,04/19/2016,39153C0210F,39153C,0210F,No,100-year and 500-year Floodplain,41.110699,-81.383817,Dayton Freight Lines,blue
2700 Remico St SW,,Industrial,2,,,C,Existing,8650,,$6.22 - 7.60 (Est.),Truck Terminal,Grand Rapids,Southwestern Grand Rapids,,,Kent County,Wyoming,MI,49519,Kent,,,,N,4/7/15,"280,000",100.00,1984,,8650,1.50,Single,,,,,No,,42.9085,-85.732251,Dayton Freight Lines,blue
1850 Sheyenne Loop N,,Industrial,3,,,B,Existing,9600,,$8.76 - 10.70 (Est.),Warehouse,Fargo,Fargo,,,North Dakota,Fargo,ND,58102,Cass,,,,N,9/19/22,"1,355,500",100.00,2019,,9600,0.42,Single,01/16/2015,38017C0588G,38017C,0588G,Yes,100-year Floodplain,46.9032402,-96.8688499,Dayton Freight Lines,blue
524 S State Highway 125,,Industrial,3,,,B,Existing,29500,,$6.13 - 6.65 (Est.),Truck Terminal,Springfield ,Outlying Greene County,"Streams Edge Properties, LLC",,Outlying Greene County,Strafford,MO,65757-8105,Greene,,,,N,,,100.00,2016,,29500,,Single,12/17/2010,29077C0244E,29077C,0244E,No,100-year and 500-year Floodplain,37.2637185,-93.133711,Dayton Freight Lines,blue
State Route 795,Lot A,Land,2,,,,Existing,,,Not Disclosed,Commercial,Toledo,Perrysburg/Northwood,,,Perrysburg/Northwood,Perrysburg,OH,43551,Wood,,,,N,6/27/13,"432,000",,,,,,,09/02/2011,39173C0033D,39173C,0033D,No,100-year and 500-year Floodplain,41.5631323,-83.5343233,Dayton Freight Lines,blue
7125 Strawberry Plains Pike,,Industrial,2,,,C,Existing,11520,,$5.69 - 6.96 (Est.),Truck Terminal,Knoxville,South,,,South,Knoxville,TN,37914,Knox,,,,N,4/13/20,"1,450,000",100.00,1993,,11520,1.74,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,35.9998776,-83.7828277,Dayton Freight Lines,blue
38600 Taylor Pky,,Land,,,,,Existing,,,Not Disclosed,Industrial,Cleveland,Lorain County,,,Lorain County,North Ridgeville,OH,44035,Lorain,,,,N,11/9/21,"2,100,000",,,,,,,01/01/1900,,,,No,100-year and 500-year Floodplain,41.372608,-82.0575815,Dayton Freight Lines,blue
8150 Tyler Blvd,,Industrial,2,,,C,Existing,19865,,$6.66 - 8.14 (Est.),Truck Terminal,Cleveland,Mentor/N Willoughby,,,Northeast,Mentor,OH,44060,Lake,,,,N,8/12/11,"975,000",100.00,1990,,19865,,Single,02/03/2010,39085C0111F,39085C,0111F,No,100-year and 500-year Floodplain,41.6792027,-81.348167,Dayton Freight Lines,blue
5564 Universal Dr,,Industrial,2,,,C,Existing,19285,,$7.20 - 8.79 (Est.),Truck Terminal,Memphis,Southeast,"Dayton Freight Lines, Inc.",Thomas Cronin,Southeast,Memphis,TN,38118-7923,Shelby,,,,N,3/13/15,"1,125,000",100.00,1989,,19285,3.63,Multi,09/28/2007,47157C0445F,47157C,0445F,No,100-year and 500-year Floodplain,35.00103,-89.877829,Dayton Freight Lines,blue
7400 Wall St,Carolina Freight,Industrial,2,,,C,Existing,23748,,$5.07 - 6.19 (Est.),Truck Terminal,Cleveland,Brooklyn Hts,,,South,Valley View,OH,44125-3318,Cuyahoga,,,,N,,,100.00,1967,,23748,2.52,Single,12/03/2010,39035C0194E,39035C,0194E,Yes,100-year Floodplain,41.404909,-81.631376,Dayton Freight Lines,blue
2405 S West St,,Industrial,2,,,C,Existing,24150,,$6.09 - 7.44 (Est.),Warehouse,Indianapolis,White River Pkwy,,,Downtown,Indianapolis,IN,46225-4003,Marion,,,,N,4/21/15,"1,920,000",100.00,1963,,24150,7.50,Multi,01/01/1900,,,,Yes,100-year Floodplain,39.732857,-86.16721,Dayton Freight Lines,blue
241 Altorfer Ln,,Industrial,3,,,C,Existing,16040,,$5.75 - 7.03 (Est.),Warehouse,Peoria,East Peoria,,,East Peoria,East Peoria,IL,61611,Tazewell,,,,N,,,100.00,1977,,16040,,,02/17/2017,17179C0040E,17179C,0040E,Yes,100-year Floodplain,40.6754344,-89.578785,Dayton Freight Lines,blue
1625 Bergstrom Rd,Dayton Freight Oshkosh,Industrial,2,,,,Existing,7976,,$5.63 - 6.88 (Est.),Truck Terminal,Oshkosh-Neenah,Appleton/Oshkosh,,,Wisconsin North,Neenah,WI,54956-9701,Winnebago,,,,N,2/1/22,,100.00,1900,,7976,,Single,07/22/2010,55087C0450D,55139C,0450D,No,500-year Floodplain,44.1434596,-88.4927277,Dayton Freight Lines,blue
1085 Cedar Rd,,Industrial,1,,,C,Existing,6350,,$4.54 - 5.55 (Est.),Truck Terminal,Wausau,,"Crown Enterprises, LLC",,,Mosinee,WI,54455,Marathon,,,,N,10/30/13,"675,000",100.00,,,6350,,Single,07/22/2010,55073C0633F,55073C,0633F,Yes,100-year Floodplain,44.8361117,-89.6607267,Dayton Freight Lines,blue
8206 Clyde Park Ave SW,,Retail,3,,,B,Existing,,,$14.85 - 18.15 (Est.),,Grand Rapids,Byron/Gaines,,,Kent County,Byron Center,MI,49315-9332,Kent,,,,N,,,,,,,,,,,,,No,,42.81508,-85.6809,Dayton Freight Lines,blue
2451 Leestown Rd,,Industrial,2,,,C,Existing,24042,,$9.96 - 12.17 (Est.),Warehouse,Lexington,West Lexington/Fayette,,,West Lexington/Fayette,Lexington,KY,40511-8724,Fayette,,,,N,11/30/17,"3,000,000",100.00,1997,2017,,,,03/03/2014,2100670108E,210067,0108E,No,100-year and 500-year Floodplain,38.08009,-84.54327,Dayton Freight Lines,blue
1000 E Northwest Hwy,,Industrial,2,,,B,Existing,58000,,$6.85 - 8.37 (Est.),Distribution,Chicago,O'Hare,,,O'Hare,Des Plaines,IL,60016-3003,Cook,,,,N,,,100.00,,,55368,,,08/19/2008,17031C0217J,17031C,0217J,No,100-year and 500-year Floodplain,42.0485231,-87.8998965,Dayton Freight Lines,blue
4001 Ralph Ave,,Industrial,2,,,C,Existing,17540,,$6.25 - 6.85 (Est.),,Louisville,W Outlying Jefferson Cnty,,,W Outlying Jefferson Cnty,Louisville,KY,40211-2040,Jefferson,,,,N,,,100.00,1999,,17540,,,02/26/2021,21111C0055F,21111C,0055F,No,500-year Floodplain,38.2125281,-85.835123,Dayton Freight Lines,blue
5655 Willow Creek Dr SW,,Industrial,2,,,C,Existing,15050,,$7.11 - 8.69 (Est.),Warehouse,Cedar Rapids,,,,,Cedar Rapids,IA,52404-4308,Linn,,,,N,,,100.00,1977,,15050,,,07/20/2021,19113C0415E,19113C,0415E,No,100-year and 500-year Floodplain,41.9231456,-91.6896501,Dayton Freight Lines,blue
75 Eisenhower Dr,,Industrial,2,,,C,Existing,7857,,$8.54 - 10.44 (Est.),Distribution,Portland,SW Cumberland County,,,SW Cumberland County,Westbrook,ME,04092,Cumberland,Malone Commercial Brokers,Joseph Malone,,Y,6/10/09,,,1978,,7857,6.36,Single,,,,,No,,43.662394,-70.3713909,A. Duie Pyle,green
95 2nd St,,Industrial,2,,,C,Existing,13975,,$5.72 - 6.99 (Est.),Truck Terminal,Scranton,I-81 Corridor,,,I-81 Corridor,Wilkes Barre,PA,18702,Luzerne,,,,N,2/13/18,"850,000",100.00,1997,,13975,6.51,Single,11/02/2012,42079C0239E,42079C,0239E,No,100-year and 500-year Floodplain,41.2642793,-75.8253716,A. Duie Pyle,green
5815-5817 49th Pl,,Industrial,1,,,C,Existing,7000,,$16.39 - 20.03 (Est.),Warehouse,New York,Central Queens,Michael & Steven Levy Realty,Steven Levy,Queens,Flushing,NY,11378-2114,Queens,,,,N,7/7/22,"4,400,000",100.00,1965,,7000,,Single,09/05/2007,3604970208F,360497,0208F,No,500-year Floodplain,40.718414,-73.919573,A. Duie Pyle,green
66 Ampad Rd,,Industrial,4,,,A,Existing,127140,,$6.62 (Est.),Manufacturing,Springfield ,Hampden County,,,Hampden County,Westfield,MA,01085,Hampden,,,,N,7/1/13,"3,350,000",100.00,1985,,127140,0.27,Single,09/17/2014,25013C0190F,25013C,0190F,No,100-year and 500-year Floodplain,42.1614611,-72.7448481,A. Duie Pyle,green
