,Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Latitude,Longitude,Company Name,Regional or National,marker-color
153,9018 High Cotton Ln,,Industrial,2.0,,,C,Existing,22800.0,,$10.36 - 12.66 (Est.),Distribution,Fort Myers,City of Ft Myers,,,Lee County,Fort Myers,FL,33905,Lee,,,,N,,,100.0,1982.0,,22800.0,,Multi,12/07/2018,12071C0295G,12071C,0295G,No,100-year and 500-year Floodplain,26.642414,-81.806578,Southeastern Freight Lines,Regional,purple
154,9024 High Cotton Ln,,Industrial,2.0,,,C,Existing,5000.0,,$10.16 - 12.41 (Est.),Truck Terminal,Fort Myers,City of Ft Myers,,,Lee County,Fort Myers,FL,33905,Lee,,,,N,,,100.0,1982.0,,5000.0,4.0,Single,12/07/2018,12071C0295G,12071C,0295G,No,100-year and 500-year Floodplain,26.642412,-81.806574,Southeastern Freight Lines,Regional,purple
155,2126-2150 W Hill Ave,,Industrial,2.0,,,B,Existing,26180.0,,$5.20 - 5.77 (Est.),Truck Terminal,Valdosta,Valdosta/Lake Park,,,Georgia South,Valdosta,GA,31601-5130,Lowndes,,,,N,,,100.0,1993.0,,26180.0,2.29,Single,09/02/2009,13027C0280C,13185C,0280C,No,100-year and 500-year Floodplain,30.816422,-83.322375,Southeastern Freight Lines,Regional,purple
156,E Holmes Rd & Getwell Rd,Holmes Road Industrial,Land,2.0,,,,Existing,,,Not Disclosed,Industrial,Memphis,Airport,,,Airport,Memphis,TN,38118,Shelby,,,,N,2021-08-10 00:00:00,2701172.0,,,,,,,09/28/2007,47157C0440F,47157C,0440F,No,100-year and 500-year Floodplain,35.004999,-89.9450307,Southeastern Freight Lines,Regional,purple
157,2700 Hwy 1 N,,Industrial,4.0,,,A,Existing,442800.0,,$7.18 - 8.77 (Est.),Truck Terminal,Baton Rouge,West Baton Rouge,Stirling,,West Baton Rouge,Port Allen,LA,70767-3415,W Baton Rouge,,,,N,,,100.0,2023.0,,442800.0,,Multi,07/16/2014,22121C0155D,22121C,0155D,No,100-year and 500-year Floodplain,30.486032,-91.2077472,Southeastern Freight Lines,Regional,purple
158,I-565 & Greenbrier Rd,Lot 2,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Huntsville,Outlying Limestone County,,,Outlying Limestone County,Madison,AL,35756,Limestone,,,,N,,,,,,,,,08/16/2018,01083C0314G,01083C,0314G,No,100-year and 500-year Floodplain,34.6353703,-86.8411423,Southeastern Freight Lines,Regional,purple
159,4032 N I-85 Service Rd,,Industrial,2.0,,,C,Existing,8800.0,,$10.16 - 12.42 (Est.),Truck Terminal,Charlotte,Sugar Creek,,,North,Charlotte,NC,28206-1237,Mecklenburg,,,,N,2012-12-05 00:00:00,1645000.0,100.0,1964.0,,8800.0,4.0,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,35.276034,-80.813043,Southeastern Freight Lines,Regional,purple
160,4524 N I-85 Service Rd,,Industrial,3.0,,,C,Existing,66788.0,,$11.32 - 13.84 (Est.),Truck Terminal,Charlotte,Sugar Creek,,,North,Charlotte,NC,28206-1374,Mecklenburg,,,,N,,,100.0,1985.0,,66788.0,4.0,Single,02/19/2014,3710456500K,37119C,4565K,No,100-year and 500-year Floodplain,35.2748357,-80.8043779,Southeastern Freight Lines,Regional,purple
161,141 Industrial Ct,,Industrial,2.0,,,C,Existing,23797.0,,$8.97 - 10.96 (Est.),Truck Terminal,Pensacola,Ensley/N Brent,,,Ensley/N Brent,Pensacola,FL,32505,Escambia,,,,N,,,100.0,1978.0,,23797.0,1.26,Single,09/29/2006,12033C0360G,12033C,0360G,No,100-year and 500-year Floodplain,30.474688,-87.2534879,Southeastern Freight Lines,Regional,purple
162,230 Industrial Park Dr,Industrial Park Drive,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,,Athens/Gainesville,,,Georgia North,Commerce,GA,30529,Banks,,,,N,2022-04-28 00:00:00,2799860.0,,,,,,,12/17/2010,13157C0075C,13011C,0075C,Yes,100-year Floodplain,34.2486882,-83.4511124,Southeastern Freight Lines,Regional,purple
163,Industrial Park Blvd,± 200 Acres on Industrial Park Blvd,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,,Athens/Gainesville,,,Georgia North,Commerce,GA,30529,Banks,,,,N,2022-06-13 00:00:00,12438400.0,,,,,,,12/17/2010,13157C0075C,13011C,0075C,No,100-year and 500-year Floodplain,34.2536945,-83.4496873,Southeastern Freight Lines,Regional,purple
164,4001 Irving Blvd,,Land,2.0,,,,Existing,,,Not Disclosed,Industrial,Dallas-Fort Worth,Stemmons Freeway,,,Stemmons Freeway,Dallas,TX,75247,Dallas,,,,N,,,,,,,,,08/23/2001,48113C0320J,48113C,0320J,No,100-year and 500-year Floodplain,32.8085558,-96.8839167,Southeastern Freight Lines,Regional,purple
165,4211 Irving Blvd,,Industrial,2.0,,,C,Existing,350000.0,,$7.92 - 9.69 (Est.),Truck Terminal,Dallas-Fort Worth,West Brookhollow,,,South Stemmons,Dallas,TX,75247-5819,Dallas,,,,N,2021-02-24 00:00:00,,100.0,1966.0,,350000.0,0.21,Multi,08/23/2001,48113C0320J,48113C,0320J,No,100-year and 500-year Floodplain,32.810035,-96.888028,Southeastern Freight Lines,Regional,purple
166,6103 Lindsey Rd,,Industrial,2.0,,,B,Existing,17591.0,,$7.42 - 9.07 (Est.),Truck Terminal,Little Rock,Outlying Pulaski County,,,Outlying Pulaski County,Little Rock,AR,72206,Pulaski,,,,N,2009-07-20 00:00:00,1100000.0,100.0,1980.0,,17591.0,5.68,Single,07/06/2015,05119C0479G,05119C,0479G,Yes,100-year Floodplain,34.711393,-92.206481,Southeastern Freight Lines,Regional,purple
167,1415 S Loop 12,,Industrial,2.0,,,C,Existing,42020.0,,$10.11 - 12.36 (Est.),Truck Terminal,Dallas-Fort Worth,West Brookhollow,Burr & Temkin,Dave Dandurand,South Stemmons,Irving,TX,75060-6321,Dallas,,,,N,,,100.0,1981.0,,42020.0,3.69,Single,01/01/1900,,,,No,500-year Floodplain,32.7972026,-96.9239116,Southeastern Freight Lines,Regional,purple
168,1501 S Loop 12,,Industrial,3.0,,,C,Existing,79376.0,,$8.14 - 9.95 (Est.),Truck Terminal,Dallas-Fort Worth,West Brookhollow,Burr & Temkin,Dave Dandurand,South Stemmons,Irving,TX,75060-6327,Dallas,,,,N,2003-04-08 00:00:00,4030000.0,100.0,1981.0,,79376.0,,Multi,01/01/1900,,,,No,500-year Floodplain,32.7946037,-96.9231932,Southeastern Freight Lines,Regional,purple
169,8718 W Market St,,Industrial,3.0,,,B,Existing,55966.0,,$6.55 - 8.01 (Est.),Truck Terminal,Greensboro,Airport/W Guilford County,,,Guilford County,Greensboro,NC,27409-9682,Guilford,,,,N,,,100.0,1997.0,,55966.0,1.57,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,36.101725,-79.977387,Southeastern Freight Lines,Regional,purple
170,5300 Martin St,,Industrial,2.0,,,A,Existing,25000.0,,$7.86 - 9.60 (Est.),Truck Terminal,Dallas-Fort Worth,East Ft Worth,,,South Ft Worth,Fort Worth,TX,76119,Tarrant,,,,N,,,100.0,2012.0,,25000.0,4.8,Single,09/25/2009,48439C0330K,48439C,0330K,Yes,100-year Floodplain,32.687841,-97.2425058,Southeastern Freight Lines,Regional,purple
171,733 Massman Dr,,Industrial,2.0,,,C,Existing,18260.0,,$13.18 - 16.11 (Est.),Truck Terminal,Nashville,East,Foundry Commercial,Melissa Alexander,East,Nashville,TN,37210,Davidson,,,,N,2022-06-30 00:00:00,8600000.0,100.0,1971.0,,18260.0,2.74,Single,04/05/2017,47037C0264H,47037C,0264H,Yes,100-year Floodplain,36.14809,-86.71339,Southeastern Freight Lines,Regional,purple
172,801 S Meadow Ave,,Industrial,2.0,,,C,Existing,11634.0,,$11.27 - 13.77 (Est.),Truck Terminal,Odessa,Midland & Odessa,"Moriah Brokerage Services, LLC",Wes Gotcher,Texas West,Odessa,TX,79761-5819,Ector,,,,N,,,100.0,1981.0,,11634.0,0.0,Single,03/15/2012,48135C0355E,48135C,0355E,No,100-year and 500-year Floodplain,31.8456226,-102.3341842,Southeastern Freight Lines,Regional,purple
173,1420 Metals Dr,,Industrial,2.0,,,C,Existing,66800.0,,$5.98 - 7.31 (Est.),Warehouse,Charlotte,Sugar Creek,,,North,Charlotte,NC,28206,Mecklenburg,,,,N,2020-06-30 00:00:00,,100.0,1967.0,,22736.0,0.14,Single,02/19/2014,3710456500K,37119C,4565K,No,100-year and 500-year Floodplain,35.2723261,-80.8076725,Southeastern Freight Lines,Regional,purple
174,1420 Metals Dr,,Industrial,2.0,,,C,Existing,76200.0,,$9.69 - 11.85 (Est.),Manufacturing,Charlotte,Sugar Creek,,,North,Charlotte,NC,28206-1331,Mecklenburg,,,,N,2020-06-30 00:00:00,,100.0,1958.0,,76200.0,4.0,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,35.273005,-80.808546,Southeastern Freight Lines,Regional,purple
175,3301 W Miller Rd,,Industrial,3.0,,,B,Existing,138000.0,,$7.70 - 9.42 (Est.),Truck Terminal,Dallas-Fort Worth,NE Dallas/Garland,Southeastern Freight Lines,,Northeast Dallas,Garland,TX,75041-6111,Dallas,,,,N,,,100.0,2017.0,,138000.0,,Single,07/07/2014,48113C0220L,48113C,0220L,No,100-year and 500-year Floodplain,32.8956204,-96.6785517,Southeastern Freight Lines,Regional,purple
176,200 S Mills Gap Rd,,Industrial,2.0,,,C,Existing,46575.0,,$7.10 - 8.68 (Est.),Truck Terminal,Asheville,Henderson County,NAI Beverly-Hanks,,Henderson County,Fletcher,NC,28732,Henderson,,,,N,,,100.0,1985.0,,46575.0,5.33,Multi,01/06/2010,3700966300K,37089C,9663K,Yes,100-year Floodplain,35.432254,-82.481636,Southeastern Freight Lines,Regional,purple
177,4041 Moreland Ave,,Industrial,3.0,,,C,Existing,111389.0,,$5.61 - 6.86 (Est.),Warehouse,Atlanta,Airport/North Clayton,,,South Atlanta,Conley,GA,30288-2129,Clayton,,,,N,,,100.0,1979.0,,105820.0,0.95,Single,06/07/2017,13063C0039F,13063C,0039F,Yes,100-year Floodplain,33.642248,-84.325701,Southeastern Freight Lines,Regional,purple
178,NWQ IH-35 & Loop 410 SW,Freeport Business Centre,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,San Antonio,South,,,South,Von Ormy,TX,78073,Bexar,,,,N,2024-05-28 00:00:00,,,,,,,,09/29/2010,48029C0555F,48029C,0555F,No,100-year and 500-year Floodplain,29.3235309,-98.6216172,Southeastern Freight Lines,Regional,purple
179,3701 Old Shed Rd,,Industrial,2.0,,,B,Existing,23179.0,,$8.22 - 10.05 (Est.),Distribution,Shreveport,Bossier Parish,,,Bossier Parish,Bossier City,LA,71111-2820,Bossier,,,,N,2015-03-13 00:00:00,3650000.0,100.0,2006.0,,23179.0,9.83,Single,01/01/1900,,,,No,500-year Floodplain,32.5391448,-93.689183,Southeastern Freight Lines,Regional,purple
180,151 Old Wire Rd,Saxe Gotha Industrial Park,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Columbia,Cayce/West Columbia,,,Cayce/West Columbia,Cayce,SC,29172,Lexington,,,,N,2022-03-01 00:00:00,5160000.0,,,,,,,07/05/2018,45063C0293J,45063C,0293J,Yes,100-year Floodplain,33.9029802,-81.0357542,Southeastern Freight Lines,Regional,purple
181,6550 Pensacola Blvd,At Home Inn,Hospitality,2.0,,,C,Existing,81390.0,,Not Disclosed,Hotel,Florida Panhandle,Pensacola,,,Florida Panhandle,Pensacola,FL,32505-1704,Escambia,,,,N,2022-04-01 00:00:00,478500.0,,1966.0,2000.0,37377.0,2.31,Multi,09/29/2006,12033C0360G,12033C,0360G,No,100-year and 500-year Floodplain,30.484817,-87.256231,Southeastern Freight Lines,Regional,purple
182,6650 N Pensacola Blvd,Prime 63 Acre Commercial Development Site,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Pensacola,Ensley/N Brent,,,Ensley/N Brent,Pensacola,FL,32505,Escambia,,,,N,2021-07-21 00:00:00,12210900.0,,,,,,Multi,09/29/2006,12033C0360G,12033C,0360G,No,100-year and 500-year Floodplain,30.487431,-87.2569431,Southeastern Freight Lines,Regional,purple
183,1701 Pickettville Rd,McKenzie- Bldg 1,Industrial,3.0,,,B,Existing,34550.0,,$7.08 - 8.65 (Est.),Warehouse,Jacksonville,West Side,Burr & Temkin,Will McFarlin,West Side,Jacksonville,FL,32220-2467,Duval,,,,N,2014-09-10 00:00:00,5000000.0,100.0,1974.0,,34550.0,1.0,Single,06/03/2013,12031C0332H,12031C,0332H,No,100-year and 500-year Floodplain,30.344262,-81.763309,Southeastern Freight Lines,Regional,purple
184,9300 Piper Rd,,Industrial,3.0,,,B,Existing,36724.0,,$10.41 - 12.72 (Est.),Distribution,Punta Gorda,Charlotte County,,,Charlotte County,Punta Gorda,FL,33982,Charlotte,,,,N,,,100.0,2009.0,,20866.0,2.45,Single,05/05/2003,12015C0263F,12015C,0263F,No,100-year and 500-year Floodplain,26.9012979,-81.9965857,Southeastern Freight Lines,Regional,purple
185,7501 Precision Dr,,Industrial,3.0,,,B,Existing,39420.0,,$11.21 - 12.52 (Est.),Truck Terminal,Raleigh,Glenwood/Creedmoor,NAI Tri Properties,,Glenwood/Creedmoor,Raleigh,NC,27617,Wake,,,,N,2014-10-06 00:00:00,3000000.0,100.0,1989.0,,26175.0,2.84,Multi,05/02/2006,3720076800J,37183C,0768J,No,100-year and 500-year Floodplain,35.9113931,-78.7644351,Southeastern Freight Lines,Regional,purple
186,1140 Ramoth Church Rd,Stafford Airport Industrial Park,Land,2.0,,,,Existing,,,Not Disclosed,Industrial,Washington,Stafford County,,,Greater Fredericksburg,Fredericksburg,VA,22406-4522,Stafford,,,,N,2021-12-29 00:00:00,19500000.0,,,,,,,02/04/2005,5101540139E,51179C,0139E,No,100-year and 500-year Floodplain,38.3975292,-77.4428807,Southeastern Freight Lines,Regional,purple
187,4370 Rangeline Park Blvd,,Retail,3.0,,,C,Existing,5677.0,,$13.78 - 16.85 (Est.),Freestanding,Mobile,Outlying Mobile County,,,Outlying Mobile County,Mobile,AL,36619-9212,Mobile,,,,N,2019-04-15 00:00:00,1350000.0,100.0,1997.0,,,,,06/05/2020,01097C0659L,01097C,0659L,Yes,100-year Floodplain,30.5800725,-88.1415336,Southeastern Freight Lines,Regional,purple
188,150 Raymond Rd,,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Savannah,Bloomingdale/Pooler,,,Bloomingdale/Pooler,Pooler,GA,31322,Chatham,,,,N,2013-10-22 00:00:00,200000.0,,,,,,,08/16/2018,13051C0129G,13051C,0129G,No,100-year and 500-year Floodplain,32.0881157,-81.2014771,Southeastern Freight Lines,Regional,purple
189,1045 S River Industrial Blvd S,Benton Express,Industrial,2.0,,,C,Existing,67069.0,,$5.10 - 6.24 (Est.),Distribution,Atlanta,Airport/North Clayton,,,South Atlanta,Atlanta,GA,30315-8810,Fulton,,,,N,2015-05-26 00:00:00,3250000.0,100.0,1964.0,,33534.0,2.4,Multi,09/18/2013,13121C0386F,13121C,0386F,Yes,100-year Floodplain,33.682499,-84.35643,Southeastern Freight Lines,Regional,purple
190,1095 S River Industrial Blvd S,,Industrial,2.0,,,B,Existing,28460.0,,$8.42 - 10.29 (Est.),Truck Terminal,Atlanta,Airport/North Clayton,Burr & Temkin,Will McFarlin,South Atlanta,Atlanta,GA,30315-8810,Fulton,,,,N,2016-03-15 00:00:00,1500000.0,100.0,1978.0,,28460.0,6.32,Multi,09/18/2013,13121C0386F,13121C,0386F,Yes,100-year Floodplain,33.682248,-84.353901,Southeastern Freight Lines,Regional,purple
191,Hwy 544-& Route 31,,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Myrtle Beach,Socastee/Red Hill,,,Socastee/Red Hill,Myrtle Beach,SC,29575-9821,Horry,,,,N,2017-06-02 00:00:00,1700000.0,,,,,,,12/16/2021,45051C0684K,45051C,0684K,Yes,100-year Floodplain,33.6951305,-79.0217493,Southeastern Freight Lines,Regional,purple
192,10075 Sam Neace Dr,Grainger,Industrial,2.0,,,C,Existing,13200.0,,$7.15 - 8.73 (Est.),Warehouse,Cincinnati,Florence/Richwood,Toebben Companies,Larry Rytel,Northern Kentucky,Florence,KY,41042,Boone,,,,N,2023-03-22 00:00:00,,100.0,2002.0,,6600.0,1.97,Multi,06/04/2007,21015C0225C,21015C,0225C,No,100-year and 500-year Floodplain,38.9598599,-84.628493,Southeastern Freight Lines,Regional,purple
193,352 Simmons Dr,,Industrial,3.0,,,C,Existing,99700.0,,$4.16 - 5.08 (Est.),Distribution,Roanoke,Botetourt County,,,Botetourt County,Cloverdale,VA,24077,Botetourt,,,,N,,,100.0,,,99700.0,0.68,Single,12/17/2010,51023C0369C,51023C,0369C,Yes,100-year Floodplain,37.3767665,-79.9017792,Southeastern Freight Lines,Regional,purple
194,2701 Southeastern Cir,Southeastern Freight Lines,Industrial,2.0,,,C,Existing,14250.0,,$6.82 - 8.34 (Est.),Distribution,Birmingham,Fultondale,,,North Jefferson County,Birmingham,AL,35215,Jefferson,,,,N,,,100.0,1996.0,,14250.0,2.25,Single,03/21/2019,01073C0238H,01073C,0238H,No,100-year and 500-year Floodplain,33.641166,-86.737454,Southeastern Freight Lines,Regional,purple
195,11812 Steele Creek Rd,,Industrial,1.0,,,C,Existing,3009.0,,$10.16 - 12.42 (Est.),Warehouse,Charlotte,State Line,,,South,Charlotte,NC,28273-3732,Mecklenburg,,,,N,,,100.0,1963.0,,3009.0,,,01/01/1900,,,,No,100-year and 500-year Floodplain,35.1321224,-80.9794618,Southeastern Freight Lines,Regional,purple
196,3940 Sunset Blvd,Converted Residential,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Columbia,Cayce/West Columbia,,,Cayce/West Columbia,West Columbia,SC,29169,Lexington,,,,N,2022-03-24 00:00:00,,,,,,,Multi,07/05/2018,45063C0144J,45063C,0144J,No,100-year and 500-year Floodplain,34.008156,-81.142932,Southeastern Freight Lines,Regional,purple
197,4025 Sunset Blvd,Southeast,Industrial,1.0,,,B,Existing,86249.0,,$6.92 - 8.46 (Est.),Truck Terminal,Columbia,Cayce/West Columbia,,,Cayce/West Columbia,West Columbia,SC,29169,Lexington,,,,N,,,100.0,,,86249.0,,Single,07/05/2018,45063C0144J,45063C,0144J,No,100-year and 500-year Floodplain,34.0073611,-81.1457546,Southeastern Freight Lines,Regional,purple
198,6200 Technology Pky,,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Columbus ,Greater Columbus,,,Greater Columbus,Midland,GA,31820,Muscogee,,,,N,2023-06-12 00:00:00,1750000.0,,,,,,,09/05/2007,1351580028F,135158,0028F,No,100-year and 500-year Floodplain,32.536005,-84.83843,Southeastern Freight Lines,Regional,purple
199,78 TW Alexander Dr,Sumitomo Excess Land,Land,2.0,,,,Existing,,,Not Disclosed,Industrial,Durham,Research Triangle,,,Research Triangle,Research Triangle Park,NC,27709,Durham,,,,N,2020-04-30 00:00:00,1900000.0,,,,,,Multi,10/19/2018,3720073800K,37063C,0738K,No,100-year and 500-year Floodplain,35.9048896,-78.8800555,Southeastern Freight Lines,Regional,purple
200,US 290 & SH-130,Tract 2,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Austin,East,,,East,Austin,TX,78653,Travis,,,,N,2019-11-25 00:00:00,413158.0,,,,,,,01/01/1900,,,,No,100-year and 500-year Floodplain,30.3365726,-97.5920199,Southeastern Freight Lines,Regional,purple
201,US 290 & SH-130,Tract 1,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Austin,East,,,East,Austin,TX,73301,Travis,,,,N,2019-11-25 00:00:00,4686842.0,,,,,,,01/01/1900,,,,No,100-year and 500-year Floodplain,30.3327596,-97.5928238,Southeastern Freight Lines,Regional,purple
202,7301 N US 41,,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Sarasota,Manatee,,,Sarasota/Bradenton,Palmetto,FL,34221,Manatee,,,,N,2021-07-06 00:00:00,4250000.0,,,,,,,01/01/1900,,,,No,100-year and 500-year Floodplain,27.5806871,-82.5415103,Southeastern Freight Lines,Regional,purple
203,1595 Ware Bottom Spring Rd,,Industrial,2.0,,,B,Existing,22000.0,,$6.94 - 8.48 (Est.),Truck Terminal,Richmond,I-95 S/I-295 S/Rt 10,,,Southwest,Chester,VA,23836,Chesterfield,,,,N,,,100.0,2005.0,,22000.0,,Single,12/18/2012,51041C0335D,51041C,0335D,No,100-year and 500-year Floodplain,37.3494792,-77.3895348,Southeastern Freight Lines,Regional,purple
204,3200 Williams Rd,Bldg B,Industrial,1.0,,,C,Existing,3747.0,,$7.12 - 7.50 (Est.),Warehouse,Columbus ,Greater Columbus,,,Greater Columbus,Columbus,GA,31909,Muscogee,,,,N,,,100.0,1990.0,,3747.0,,Single,07/03/2012,13145C0280C,135158,0280C,No,100-year and 500-year Floodplain,32.5628074,-84.9413565,Southeastern Freight Lines,Regional,purple
205,3200 Williams Rd,,Industrial,2.0,,,B,Existing,15393.0,,$5.83 - 7.13 (Est.),Truck Terminal,Columbus ,Greater Columbus,,,Greater Columbus,Columbus,GA,31909,Muscogee,,,,N,,,100.0,1990.0,,15393.0,8.19,Single,07/03/2012,13145C0280C,135158,0280C,No,100-year and 500-year Floodplain,32.5630878,-84.9406966,Southeastern Freight Lines,Regional,purple
206,3655 Windsor Park Dr,,Industrial,2.0,,,C,Existing,15000.0,,$9.40 - 11.48 (Est.),Distribution,Atlanta,Duluth/Suwanee/Buford,,,Northeast Atlanta,Suwanee,GA,30024-3898,Gwinnett,,,,N,,,100.0,1992.0,,15000.0,6.67,Single,03/04/2013,13135C0032G,13135C,0032G,No,100-year and 500-year Floodplain,34.041392,-84.083206,Southeastern Freight Lines,Regional,purple
207,3670 Windsor Park Dr,,Industrial,2.0,,,C,Existing,11985.0,,$7.23 - 8.83 (Est.),Warehouse,Atlanta,Duluth/Suwanee/Buford,Burr & Temkin,,Northeast Atlanta,Suwanee,GA,30024-3897,Gwinnett,,,,N,2020-10-15 00:00:00,,100.0,1986.0,,11985.0,2.0,Single,09/29/2006,13135C0043F,13135C,0043F,No,100-year and 500-year Floodplain,34.039706,-84.085389,Southeastern Freight Lines,Regional,purple
208,7005 W 5th St,,Land,2.0,,,,Existing,,,Not Disclosed,Industrial,Jacksonville,Northwest Jacksonville,,,Northwest Jacksonville,Jacksonville,FL,32220,Duval,,,,N,2014-09-10 00:00:00,,,,,,,,06/03/2013,12031C0332H,12031C,0332H,No,100-year and 500-year Floodplain,30.3439795,-81.7617681,Southeastern Freight Lines,Regional,purple
209,106 Aquila Way,Riverside - Southeastern Freight Lines,Industrial,3.0,,,B,Existing,50000.0,,$5.22 - 6.38 (Est.),Distribution,Atlanta,I-20 W/Douglasville,,,I-20 W/Douglasville,Austell,GA,30168,Cobb,,,,N,,,100.0,1998.0,,50000.0,,Single,09/18/2013,13121C0327F,13067C,0327F,Yes,100-year Floodplain,33.7495868,-84.5754405,Southeastern Freight Lines,Regional,purple
210,3335 Edgewood Ave,Southeastern Freight Lines,Land,2.0,,,,Existing,,,Not Disclosed,Industrial,Jacksonville,Northwest Jacksonville,,,Northwest Jacksonville,Jacksonville,FL,32254-1192,Duval,,,,N,2008-10-31 00:00:00,6100000.0,,,,,,,06/03/2013,12031C0351H,12031C,0351H,No,100-year and 500-year Floodplain,30.3634594,-81.7285591,Southeastern Freight Lines,Regional,purple
211,1040 Fleet Ln,Southeastern Freight Lines,Industrial,3.0,,,B,Existing,50020.0,,$4.40 - 5.38 (Est.),Distribution,Cincinnati,Florence/Richwood,,,Northern Kentucky,Independence,KY,41051-7846,Boone,,,,N,,,100.0,,,50020.0,,,05/16/2013,21117C0053F,21015C,0053F,No,100-year and 500-year Floodplain,38.9517645,-84.6111396,Southeastern Freight Lines,Regional,purple
212,7431 FM 3009,11.94 Acres,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,San Antonio,Comal County,,,Comal County,Schertz,TX,78154,Comal,,,,N,2009-09-21 00:00:00,,,,,,,,09/29/2010,48029C0285F,48091C,0285F,No,100-year and 500-year Floodplain,29.6138813,-98.2861771,Southeastern Freight Lines,Regional,purple
213,410 Mount Zion Rd,Taco Bell,Retail,3.0,,,C,Existing,2900.0,,$15.74 - 19.23 (Est.),Fast Food,Cincinnati,Cincinnati Intl Airport,,,Northern Kentucky,Florence,KY,41042-3208,Boone,,,,N,2022-11-15 00:00:00,5987144.0,100.0,2007.0,,2900.0,,Single,06/04/2007,21015C0225C,21015C,0225C,No,100-year and 500-year Floodplain,38.9568654,-84.6290476,Southeastern Freight Lines,Regional,purple
214,3965 Newman Rd,,Land,,,,,Existing,,,Not Disclosed,Agricultural,Abilene,,,,,Abilene,TX,79601,Taylor,,,,N,2023-05-01 00:00:00,,,,,,,,01/06/2012,48441C0235F,48441C,0235F,Yes,100-year Floodplain,32.4448597,-99.661733,Southeastern Freight Lines,Regional,purple
215,1601 S Old Piedmont Hwy,,Land,2.0,,,,Existing,,,Not Disclosed,Industrial,Greenville,Western Greenville County,,,Greenville,Greenville,SC,29611,Greenville,,,,N,2018-07-24 00:00:00,3934976.0,,,,,,,01/18/2019,45045C0393E,45045C,0393E,No,100-year and 500-year Floodplain,34.7806555,-82.4346807,Southeastern Freight Lines,Regional,purple
216,151 Old Wire Rd,,Land,2.0,,,,Existing,,,Not Disclosed,Commercial,Columbia,Cayce/West Columbia,,,Cayce/West Columbia,Cayce,SC,29172,Lexington,,,,N,2022-04-27 00:00:00,5079600.0,,,,,,,07/05/2018,45063C0293J,45063C,0293J,Yes,100-year Floodplain,33.8965921,-81.0318497,Southeastern Freight Lines,Regional,purple
217,7313 E Orem Dr,Truck Terminal 3,Industrial,3.0,,,B,Existing,14343.0,,$8.66 - 9.03 (Est.),Truck Terminal,Houston,South Hwy 35,,,Southern Corridor,Houston,TX,77075,Harris,,,,N,,,100.0,2012.0,,14343.0,,,05/02/2019,48201C0895N,48201C,0895N,No,100-year and 500-year Floodplain,29.6293614,-95.2925096,Southeastern Freight Lines,Regional,purple
218,7313 E Orem Dr,Truck Terminal 1,Industrial,3.0,,,B,Existing,9522.0,,$8.33 - 9.01 (Est.),Truck Terminal,Houston,South Hwy 35,,,Southern Corridor,Houston,TX,77075,Harris,,,,N,,,100.0,2012.0,,9522.0,,,05/02/2019,48201C0895N,48201C,0895N,No,100-year and 500-year Floodplain,29.6311267,-95.2916831,Southeastern Freight Lines,Regional,purple
219,7313 E Orem Dr,Warehouse,Industrial,3.0,,,B,Existing,23580.0,,$8.24 - 10.07 (Est.),Warehouse,Houston,South Hwy 35,,,Southern Corridor,Houston,TX,77075,Harris,,,,N,,,100.0,2012.0,,23580.0,,Single,05/02/2019,48201C0895N,48201C,0895N,No,100-year and 500-year Floodplain,29.6311459,-95.292285,Southeastern Freight Lines,Regional,purple
220,122 Raymond Rd,,Retail,3.0,,,B,Existing,3634.0,,$25.68 - 31.39 (Est.),,Savannah,Bloomingdale/Pooler,,,Bloomingdale/Pooler,Pooler,GA,31322-7016,Chatham,,,,N,2016-06-27 00:00:00,525000.0,100.0,1974.0,,3634.0,,Single,08/16/2018,13051C0129G,13051C,0129G,No,100-year and 500-year Floodplain,32.0889414,-81.2012835,Southeastern Freight Lines,Regional,purple
